slug,provider,title,category,kind,price,currency,billing_period,commitment_months,renewal_price,discount_percent,coupon_code,valid_until,source_url,captured_at,evidence_quote,evidence_location,source_sha256
raidboxes-mini,raidboxes,Mini,Web hosting,promotion,14.4,EUR,month,,,,,,https://raidboxes.io/en/pricing/,2026-09-23T06:31:09Z,instead of € 18.00 20 % discount € 14.40 per month,configured field pattern: price,e5b409245273450c1bf0a20324e56fc71ce107a07a76ccf3f889dec2c8f07f1e
raidboxes-starter,raidboxes,Starter,Web hosting,promotion,19.2,EUR,month,,,,,,https://raidboxes.io/en/pricing/,2026-09-23T06:31:09Z,instead of € 24.00 20 % discount € 19.20 per month,configured field pattern: price,e5b409245273450c1bf0a20324e56fc71ce107a07a76ccf3f889dec2c8f07f1e
raidboxes-fully-managed,raidboxes,Fully Managed,Web hosting,promotion,28.0,EUR,month,,,,,,https://raidboxes.io/en/pricing/,2026-09-23T06:31:09Z,instead of € 35.00 20 % discount € 28.00 per month,configured field pattern: price,e5b409245273450c1bf0a20324e56fc71ce107a07a76ccf3f889dec2c8f07f1e
raidboxes-pro,raidboxes,Pro,Web hosting,promotion,52.0,EUR,month,,,,,,https://raidboxes.io/en/pricing/,2026-09-23T06:31:09Z,instead of € 65.00 20 % discount € 52.00 per month,configured field pattern: price,e5b409245273450c1bf0a20324e56fc71ce107a07a76ccf3f889dec2c8f07f1e
raidboxes-pro-xl,raidboxes,Pro XL,Web hosting,promotion,104.0,EUR,month,,,,,,https://raidboxes.io/en/pricing/,2026-09-23T06:31:09Z,instead of € 130.00 20 % discount € 104.00 per month,configured field pattern: price,e5b409245273450c1bf0a20324e56fc71ce107a07a76ccf3f889dec2c8f07f1e
raidboxes-business,raidboxes,Business,Web hosting,promotion,152.0,EUR,month,,,,,,https://raidboxes.io/en/pricing/,2026-09-23T06:31:09Z,instead of € 190.00 20 % discount € 152.00 per month,configured field pattern: price,e5b409245273450c1bf0a20324e56fc71ce107a07a76ccf3f889dec2c8f07f1e
webdock-vps-essential,webdock,VPS Essential,VPS hosting,regular_price,2.15,EUR,month,,,,,,https://webdock.io/en/pricing,2026-09-23T06:31:11Z,€2.15 /mo,configured field pattern: price,4fdabf83e17d2dad869464fdfdcf7ae293e2e952fba7e7cc85030af57355aca0
webdock-vps-advanced,webdock,VPS Advanced,VPS hosting,regular_price,4.3,EUR,month,,,,,,https://webdock.io/en/pricing,2026-09-23T06:31:11Z,€4.3 /mo,configured field pattern: price,4fdabf83e17d2dad869464fdfdcf7ae293e2e952fba7e7cc85030af57355aca0
webdock-vps-pro,webdock,VPS Pro,VPS hosting,regular_price,19.6,EUR,month,,,,,,https://webdock.io/en/pricing,2026-09-23T06:31:11Z,€19.6 /mo,configured field pattern: price,4fdabf83e17d2dad869464fdfdcf7ae293e2e952fba7e7cc85030af57355aca0
hostdime-colocation,hostdime,Colocation,Colocation,regular_price,100.0,USD,month,,,,,,https://www.hostdime.com/,2026-09-23T06:31:12Z,$100 /mo,configured field pattern: price,2b30670a040dcbf8c04d8952ade52ad59a817022397662ceb04bb7ec3e94684a
hostdime-bare-metal-servers,hostdime,Bare Metal Servers,Dedicated hosting,regular_price,129.0,USD,month,,,,,,https://www.hostdime.com/,2026-09-23T06:31:12Z,$129 /mo,configured field pattern: price,2b30670a040dcbf8c04d8952ade52ad59a817022397662ceb04bb7ec3e94684a
hostdime-bare-metal-cloud,hostdime,Bare Metal Cloud,VPS hosting,regular_price,35.51,USD,month,,,,,,https://www.hostdime.com/,2026-09-23T06:31:12Z,$35.51 /mo,configured field pattern: price,2b30670a040dcbf8c04d8952ade52ad59a817022397662ceb04bb7ec3e94684a
veerotech-core,veerotech,Core,Web hosting,promotion,2.77,USD,month,,2.77,,,,https://www.veerotech.net/,2026-09-23T06:31:12Z,$3.95 $2.77/mo,configured field pattern: price,a4fa99bfcd6521d5ac459ebed8df8b834a2f17fae412522ca0e13fae1021d69f
veerotech-one,veerotech,One,Web hosting,promotion,6.95,USD,month,,6.95,,,,https://www.veerotech.net/,2026-09-23T06:31:12Z,$9.95/mo $6.95/mo,configured field pattern: price,a4fa99bfcd6521d5ac459ebed8df8b834a2f17fae412522ca0e13fae1021d69f
veerotech-startup,veerotech,Startup,Web hosting,promotion,10.46,USD,month,,10.46,,,,https://www.veerotech.net/,2026-09-23T06:31:12Z,$14.95/mo $10.46/mo,configured field pattern: price,a4fa99bfcd6521d5ac459ebed8df8b834a2f17fae412522ca0e13fae1021d69f
veerotech-grow,veerotech,Grow,Web hosting,promotion,13.26,USD,month,,13.26,,,,https://www.veerotech.net/,2026-09-23T06:31:12Z,$18.95/mo $13.26/mo,configured field pattern: price,a4fa99bfcd6521d5ac459ebed8df8b834a2f17fae412522ca0e13fae1021d69f
veerotech-excel,veerotech,Excel,Web hosting,promotion,17.46,USD,month,,17.46,,,,https://www.veerotech.net/,2026-09-23T06:31:12Z,$24.95/mo $17.46/mo,configured field pattern: price,a4fa99bfcd6521d5ac459ebed8df8b834a2f17fae412522ca0e13fae1021d69f
whc-canadian-web-hosting,whc,Canadian Web Hosting,Web hosting,promotion,3.89,CAD,month,,,,,,https://whc.ca/pricing,2026-09-23T06:31:13Z,C$3.89 /mo,configured field pattern: price,436a8ac12ad7ed0bb5e28549c653c180560e65497e8669865ff664709d8f7749
whc-reseller-web-hosting,whc,Reseller Web Hosting,Reseller hosting,promotion,23.78,CAD,month,,,,,,https://whc.ca/pricing,2026-09-23T06:31:13Z,C$23.78 /mo,configured field pattern: price,436a8ac12ad7ed0bb5e28549c653c180560e65497e8669865ff664709d8f7749
whc-canadian-vps,whc,Canadian VPS,VPS hosting,promotion,18.5,CAD,month,,,,,,https://whc.ca/pricing,2026-09-23T06:31:13Z,C$18.50 /mo,configured field pattern: price,436a8ac12ad7ed0bb5e28549c653c180560e65497e8669865ff664709d8f7749
whc-canadian-dedicated-servers,whc,Canadian Dedicated Servers,Dedicated hosting,promotion,149.99,CAD,month,,,,,,https://whc.ca/pricing,2026-09-23T06:31:13Z,C$149.99 /mo,configured field pattern: price,436a8ac12ad7ed0bb5e28549c653c180560e65497e8669865ff664709d8f7749
123-reg-economy,123-reg,Economy,Web hosting,promotion,1.99,GBP,month,,,,,,https://www.123-reg.co.uk/web-hosting/,2026-09-23T06:31:15Z,£6.99 £1.99 /mo,configured field pattern: price,540ac427c5307804ee22150878e20a29ff23c1032ab85e700e421a2bff8d54dd
123-reg-deluxe,123-reg,Deluxe,Web hosting,promotion,2.99,GBP,month,,,,,,https://www.123-reg.co.uk/web-hosting/,2026-09-23T06:31:16Z,£8.99 £2.99 /mo,configured field pattern: price,540ac427c5307804ee22150878e20a29ff23c1032ab85e700e421a2bff8d54dd
123-reg-ultimate,123-reg,Ultimate,Web hosting,promotion,4.99,GBP,month,,,,,,https://www.123-reg.co.uk/web-hosting/,2026-09-23T06:31:16Z,£11.99 £4.99 /mo,configured field pattern: price,540ac427c5307804ee22150878e20a29ff23c1032ab85e700e421a2bff8d54dd
123-reg-maximum,123-reg,Maximum,Web hosting,promotion,5.99,GBP,month,,,,,,https://www.123-reg.co.uk/web-hosting/,2026-09-23T06:31:16Z,£15.99 £5.99 /mo,configured field pattern: price,540ac427c5307804ee22150878e20a29ff23c1032ab85e700e421a2bff8d54dd
easyspace-dedicated-servers,easyspace,Dedicated Servers,Dedicated hosting,regular_price,69.0,GBP,month,,,,,,https://www.easyspace.com/,2026-09-23T06:31:18Z,£69 per month,configured field pattern: price,531e51fe41ad2b16c752b0c5974422b2bd856667a3a000f5005e8891daac18d8
